 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Det er ikke kun teksten, men det er hele siden... også alle linksne/knapperne oppe i toppen.
1-1	Det	det	PP:s-un:--:-3n-	O	
1-2	er	re	VF:----:sa:----	O	
1-3	ikke	ikke	D-:----:--:u---	O	
1-4	kun	kun	D-:----:--:u---	O	
1-5	teksten	tekst	NC:sduc:--:----	O	
1-6	,	,	ZD	O	
1-7	men	men	CC:----:--:----	O	
1-8	det	det	PP:s-un:--:-3n-	O	
1-9	er	være	VF:----:sa:----	O	
1-10	hele	hel	AC:sdu#:--:p---	O	
1-11	siden	side	NC:sduc:--:----	O	
1-12	.	.	ZP	O	
1-13	.	.	ZP	O	
1-14	.	.	ZP	O	
1-15	også	også	D-:----:--:u---	O	
1-16	alle	al	PI:p-u#:--:----	O	
1-17	linksne	linksne	VI:----:-a:----	O	
1-18	/	/	XY:----:--:----	O	
1-19	knapperne	knap	NC:pdu#:--:----	O	
1-20	oppe	oppe	D-:----:--:u---	O	
1-21	i	i	T-:----:--:----	O	
1-22	toppen	_	NC:sduc:--:----	B-top-1	
1-23	.	.	ZP	O	

#id=2
#text= Gintama er på top 10!!!!!...
2-1	Gintama	_	_	O	
2-2	er	_	_	O	
2-3	på	_	_	O	
2-4	top	_	_	O	
2-5	10	_	_	O	
2-6	!	!	ZP	O	
2-7	!	!	ZP	O	
2-8	!	!	ZP	O	
2-9	!	!	ZP	O	
2-10	!	_	ZP	O	
2-11	.	.	ZP	O	
2-12	.	.	ZP	O	
2-13	.	_	_	O	

#id=3
#text=Manga, da jeg bedre kan lide at sidde og læse historien, men anime er altså også bare top-dollar.
3-1	Manga	_	_	O	
3-2	,	_	_	O	
3-3	da	_	_	O	
3-4	jeg	_	_	O	
3-5	bedre	_	_	O	
3-6	kan	_	_	O	
3-7	lide	_	_	O	
3-8	at	_	_	O	
3-9	sidde	_	_	O	
3-10	og	_	_	O	
3-11	læse	_	_	O	
3-12	historien	_	_	O	
3-13	,	_	_	O	
3-14	men	_	_	O	
3-15	anime	_	_	O	
3-16	er	_	_	O	
3-17	altså	_	_	O	
3-18	også	_	_	O	
3-19	bare	_	_	O	
3-20	top	_	_	O	
3-21	-	_	_	O	
3-22	dollar	_	_	O	
3-23	.	_	_	O	

#id=4
#text= I dag bliver mit hjerte fyldt med glæde når Barca spiller, og det "varmer" mit hjerte at de er på vej tilbage til toppen af europæiske hold.
4-1	I	_	_	O	
4-2	dag	_	_	O	
4-3	bliver	_	_	O	
4-4	mit	_	_	O	
4-5	hjerte	_	_	O	
4-6	fyldt	_	_	O	
4-7	med	_	_	O	
4-8	glæde	_	_	O	
4-9	når	_	_	O	
4-10	Barca	_	_	O	
4-11	spiller	_	_	O	
